caregiversNo,caregiversName,caregiversAge,caregiversGender,caregiversTel,caregiversExperience,caregiversWorkHours,caregiversRole
33,박옥자,40-50,female,010-5432-1098,experienced,evening,personalCare
34,이승희,40-50,female,010-4321-0987,experienced,morning,companionship
35,김민재,20-40,male,010-3210-9876,intermediate,morning,companionship
36,이영수,20-40,male,010-2109-8765,experienced,evening,companionship
37,정태욱,40-50,male,010-1098-7654,experienced,evening,companionship
38,장민지,40-50,female,010-0987-6543,novice,afternoon,housekeeping
39,박민지,20-40,female,010-9876-5432,novice,evening,companionship
40,김승희,40-50,female,010-8765-4321,intermediate,morning,companionship
41,이옥자,50+,female,010-7654-3210,experienced,morning,companionship
42,정미숙,40-50,female,010-6543-2109,novice,evening,personalCare
43,박승희,50+,female,010-5432-1098,experienced,afternoon,housekeeping
44,이승희,40-50,female,010-4321-0987,experienced,afternoon,personalCare
45,김태영,20-40,male,010-3210-9876,intermediate,morning,companionship
46,이정희,40-50,female,010-2109-8765,experienced,afternoon,housekeeping
47,장현지,40-50,female,010-1098-7654,novice,evening,companionship
48,김은주,20-40,female,010-9876-5432,experienced,afternoon,companionship
49,이태욱,40-50,male,010-8765-4321,experienced,morning,companionship
50,정지원,50+,male,010-7654-3210,experienced,evening,companionship
51,박현주,40-50,female,010-6543-2109,intermediate,evening,companionship
52,김미영,20-40,female,010-5432-1098,experienced,evening,personalCare
53,이미영,40-50,female,010-4321-0987,intermediate,afternoon,companionship
54,장승희,40-50,female,010-3210-9876,experienced,evening,personalCare
55,박지원,20-40,female,010-2109-8765,intermediate,afternoon,personalCare
56,이미영,40-50,female,010-1098-7654,novice,morning,companionship
57,정현주,50+,female,010-0987-6543,intermediate,afternoon,personalCare
58,이영진,40-50,male,010-9876-5432,experienced,evening,companionship
59,김은주,50+,female,010-8765-4321,experienced,afternoon,personalCare
60,박민지,50+,female,010-7654-3210,experienced,evening,housekeeping
61,이영수,20-40,male,010-6543-2109,novice,evening,housekeeping
62,정영진,50+,male,010-5432-1098,experienced,morning,companionship
63,장현지,50+,female,010-4321-0987,novice,evening,personalCare
64,이정숙,40-50,female,010-3210-9876,intermediate,afternoon,personalCare
65,김승희,20-40,female,010-9876-5432,novice,evening,personalCare
66,이미경,50+,female,010-8765-4321,intermediate,afternoon,companionship
67,정옥자,50+,female,010-7654-3210,experienced,evening,companionship
68,장영수,40-50,male,010-6543-2109,experienced,morning,companionship
69,박영진,20-40,male,010-5432-1098,experienced,afternoon,companionship
70,김정숙,40-50,female,010-4321-0987,experienced,evening,companionship
71,이미선,20-40,female,010-3210-9876,novice,evening,companionship
72,정민지,40-50,female,010-2109-8765,novice,afternoon,personalCare
73,장태욱,50+,male,010-1098-7654,novice,afternoon,personalCare
74,박미선,40-50,female,010-0987-6543,novice,morning,companionship
75,이지원,20-40,male,010-9876-5432,experienced,evening,personalCare
76,김민지,50+,female,010-8765-4321,novice,morning,companionship
77,장미선,20-40,female,010-7654-3210,intermediate,afternoon,companionship
78,박정숙,40-50,female,010-6543-2109,experienced,evening,personalCare
79,이태영,50+,female,010-5432-1098,intermediate,afternoon,personalCare
80,정민지,40-50,female,010-4321-0987,experienced,morning,personalCare
81,장은주,20-40,female,010-3210-9876,novice,evening,personalCare
82,김태욱,40-50,male,010-2109-8765,experienced,morning,personalCare
83,이미영,50+,female,010-1098-7654,experienced,afternoon,personalCare
84,정민지,40-50,female,010-0987-6543,experienced,evening,companionship
85,장민수,20-40,male,010-9876-5432,novice,afternoon,companionship
86,박태영,40-50,male,010-8765-4321,intermediate,morning,companionship
87,이미경,50+,female,010-7654-3210,novice,afternoon,companionship
88,정은주,20-40,female,010-6543-2109,intermediate,evening,companionship
89,장태영,50+,male,010-5432-1098,experienced,evening,companionship
90,김미영,40-50,female,010-4321-0987,novice,morning,personalCare
91,이승희,20-40,female,010-3210-9876,experienced,afternoon,personalCare
92,정현주,50+,female,010-2109-8765,intermediate,evening,personalCare
93,장영진,40-50,male,010-1098-7654,novice,afternoon,personalCare
94,김정희,20-40,female,010-9876-5432,experienced,evening,companionship
95,이민수,40-50,male,010-8765-4321,experienced,morning,companionship
96,정미영,50+,female,010-7654-3210,novice,afternoon,personalCare
97,장승희,40-50,female,010-6543-2109,experienced,evening,companionship
98,김은숙,20-40,female,010-5432-1098,intermediate,morning,companionship
99,이민지,40-50,female,010-4321-0987,experienced,morning,companionship
100,정태영,50+,male,010-3210-9876,novice,afternoon,companionship
101,서예준,20-40,male,010-8765-4321,novice,morning,personalCare
102,이서윤,50+,female,010-7654-3210,experienced,evening,personalCare
103,김민준,50+,male,010-6543-2109,novice,afternoon,personalCare
104,박지민,40-50,female,010-5432-1098,experienced,evening,personalCare
105,최시우,20-40,male,010-4321-0987,experienced,afternoon,companionship
106,정서연,50+,female,010-3210-9876,novice,evening,companionship
107,임도현,20-40,male,010-2109-8765,experienced,afternoon,companionship
108,한하은,50+,female,010-1098-7654,experienced,morning,companionship
109,오민서,40-50,female,010-0987-6543,intermediate,evening,companionship
110,유준우,20-40,male,010-9876-5432,novice,afternoon,companionship
111,배수아,50+,female,010-8765-4321,experienced,evening,companionship
112,임준서,20-40,male,010-7654-3210,novice,afternoon,companionship
113,황민지,50+,female,010-6543-2109,novice,evening,personalCare
114,송예은,40-50,female,010-5432-1098,experienced,afternoon,personalCare
115,신시현,20-40,female,010-4321-0987,novice,evening,personalCare
116,박주원,50+,male,010-3210-9876,experienced,afternoon,personalCare
117,한도현,20-40,male,010-2109-8765,experienced,morning,personalCare
118,이주현,50+,female,010-1098-7654,novice,afternoon,personalCare
119,홍은서,40-50,female,010-0987-6543,novice,evening,companionship
120,김시우,20-40,male,010-9876-5432,intermediate,afternoon,companionship
121,장도현,50+,male,010-8765-4321,experienced,evening,companionship
122,유민서,40-50,female,010-7654-3210,experienced,afternoon,companionship
123,강준우,20-40,male,010-6543-2109,novice,morning,companionship
124,임수아,50+,female,010-5432-1098,experienced,afternoon,companionship
125,최서연,20-40,female,010-4321-0987,experienced,morning,companionship
126,배도현,50+,male,010-3210-9876,novice,afternoon,companionship
127,신하은,20-40,female,010-2109-8765,experienced,evening,companionship
128,이민지,50+,female,010-1098-7654,intermediate,morning,companionship
129,정도현,40-50,male,010-0987-6543,novice,afternoon,companionship
130,한예은,20-40,female,010-9876-5432,experienced,evening,personalCare
131,김시현,50+,female,010-8765-4321,novice,afternoon,personalCare
132,최준우,20-40,male,010-7654-3210,experienced,evening,personalCare
133,박민서,50+,female,010-6543-2109,novice,afternoon,personalCare
134,장은서,40-50,female,010-5432-1098,experienced,morning,personalCare
135,윤수아,20-40,female,010-4321-0987,experienced,afternoon,personalCare
136,강주원,50+,male,010-3210-9876,experienced,evening,companionship
137,나도현,20-40,male,010-2109-8765,novice,afternoon,companionship
138,정주원,50+,male,010-1098-7654,intermediate,morning,companionship
139,임은서,40-50,female,010-0987-6543,novice,afternoon,companionship
140,황시우,20-40,male,010-9876-5432,experienced,evening,companionship
141,신서연,50+,female,010-8765-4321,experienced,afternoon,companionship
142,이도현,20-40,male,010-7654-3210,experienced,morning,companionship
143,배민지,50+,female,010-6543-2109,experienced,afternoon,companionship
144,장예은,40-50,female,010-5432-1098,experienced,evening,personalCare
145,강시현,20-40,female,010-4321-0987,experienced,afternoon,personalCare
146,최주현,50+,female,010-3210-9876,novice,evening,personalCare
147,한수아,20-40,female,010-2109-8765,experienced,afternoon,personalCare
148,이서연,50+,female,010-1098-7654,intermediate,morning,personalCare
149,김도현,40-50,male,010-0987-6543,novice,afternoon,personalCare
150,홍은서,20-40,female,010-9876-5432,experienced,evening,companionship
151,김시우,50+,male,010-8765-4321,experienced,afternoon,companionship
152,장도현,20-40,male,010-7654-3210,experienced,evening,companionship
153,강민서,50+,female,010-6543-2109,novice,afternoon,companionship
154,임은서,40-50,female,010-5432-1098,experienced,morning,companionship
155,윤수아,20-40,female,010-4321-0987,experienced,afternoon,companionship
156,박주원,50+,male,010-3210-9876,experienced,evening,companionship
157,한도현,20-40,male,010-2109-8765,experienced,morning,companionship
158,이주현,50+,female,010-1098-7654,novice,afternoon,companionship
159,황은서,40-50,female,010-0987-6543,novice,evening,companionship
160,김시우,20-40,male,010-9876-5432,intermediate,afternoon,companionship
161,장도현,50+,male,010-8765-4321,experienced,evening,companionship
162,강민서,40-50,female,010-7654-3210,experienced,afternoon,companionship
163,임은서,20-40,female,010-6543-2109,novice,morning,companionship
164,윤수아,50+,female,010-5432-1098,experienced,afternoon,companionship
165,박주원,20-40,male,010-4321-0987,experienced,morning,companionship
166,한도현,50+,male,010-3210-9876,novice,afternoon,companionship
167,이서아,20-40,female,010-2109-8765,experienced,afternoon,companionship
168,김민서,50+,female,010-1098-7654,novice,morning,companionship
169,박준우,20-40,male,010-0987-6543,experienced,evening,companionship
170,최도현,50+,male,010-9876-5432,novice,afternoon,companionship
171,한예은,20-40,female,010-8765-4321,experienced,morning,personalCare
172,이서연,50+,female,010-7654-3210,novice,afternoon,personalCare
173,장민지,20-40,female,010-6543-2109,experienced,evening,personalCare
174,강시우,50+,male,010-5432-1098,experienced,afternoon,personalCare
175,임수아,40-50,female,010-4321-0987,intermediate,evening,personalCare
176,황은서,20-40,female,010-3210-9876,novice,afternoon,companionship
177,김시현,50+,female,010-2109-8765,experienced,evening,companionship
178,장도현,20-40,male,010-1098-7654,experienced,morning,companionship
179,강민서,50+,female,010-0987-6543,novice,afternoon,companionship
180,임은서,40-50,female,010-9876-5432,experienced,evening,companionship
181,윤수아,20-40,female,010-8765-4321,experienced,afternoon,companionship
182,박주원,50+,male,010-7654-3210,experienced,evening,companionship
183,한도현,20-40,male,010-6543-2109,novice,afternoon,companionship
184,이주현,50+,female,010-5432-1098,novice,evening,companionship
185,황은서,40-50,female,010-4321-0987,experienced,afternoon,companionship
186,김시우,20-40,male,010-3210-9876,experienced,evening,companionship
187,장도현,50+,male,010-2109-8765,novice,afternoon,companionship
188,강민서,40-50,female,010-1098-7654,experienced,evening,companionship
189,임은서,20-40,female,010-0987-6543,novice,afternoon,companionship
190,윤수아,50+,female,010-9876-5432,experienced,evening,companionship
191,박주원,20-40,male,010-8765-4321,experienced,afternoon,companionship
192,한도현,50+,male,010-7654-3210,novice,evening,companionship
193,이주현,20-40,female,010-6543-2109,experienced,afternoon,companionship
194,황은서,50+,female,010-5432-1098,experienced,evening,companionship
195,김시우,40-50,male,010-4321-0987,novice,afternoon,companionship
196,장도현,20-40,male,010-3210-9876,experienced,morning,companionship
197,강민서,50+,female,010-2109-8765,experienced,afternoon,companionship
198,임은서,20-40,female,010-1098-7654,novice,evening,companionship
199,윤수아,50+,female,010-0987-6543,experienced,afternoon,companionship
200,박주원,40-50,male,010-9876-5432,experienced,morning,companionship
201, 김서준, 40-50, male, 010-5432-1098, experienced, evening, personalCare
203, 박승민, 50+, female, 010-3210-9876, experienced, morning, personalCare
204, 최지우, 40-50, female, 010-2109-8765, experienced, afternoon, companionship
205, 정하율, 50+, female, 010-1098-7654, experienced, morning, companionship
206, 송하윤, 50+, female, 010-0987-6543, novice, evening, personalCare
207, 장도우, 40-50, male, 010-9876-5432, intermediate, afternoon, companionship
208, 강예린, 50+, male, 010-8765-4321, experienced, evening, personalCare
209, 신지윤, 40-50, female, 010-7654-3210, experienced, afternoon, personalCare
213, 최승현, 50+, female, 010-3210-9876, experienced, morning, personalCare
215, 송민지, 50+, female, 010-1098-7654, experienced, morning, companionship
216, 장지아, 50+, female, 010-0987-6543, novice, evening, personalCare
217, 강지우, 40-50, male, 010-9876-5432, intermediate, afternoon, companionship
218, 신하린, 50+, male, 010-8765-4321, experienced, evening, personalCare
219, 윤예은, 50+, female, 010-7654-3210, experienced, afternoon, personalCare
223, 정승우, 50+, female, 010-3210-9876, experienced, morning, personalCare
225, 장예은, 50+, female, 010-1098-7654, experienced, morning, companionship
226, 강도현, 50+, female, 010-0987-6543, novice, evening, personalCare
228, 윤예지, 50+, male, 010-8765-4321, experienced, evening, personalCare
229, 이시윤, 50+, female, 010-7654-3210, experienced, afternoon, personalCare
233, 송하은, 50+, female, 010-3210-9876, experienced, morning, personalCare
235, 강지아, 50+, female, 010-1098-7654, experienced, morning, companionship
236, 신승우, 50+, female, 010-0987-6543, novice, evening, personalCare
238, 이하윤, 50+, male, 010-8765-4321, experienced, evening, personalCare
239, 박서준, 50+, female, 010-7654-3210, experienced, afternoon, personalCare
243, 장승우, 50+, female, 010-3210-9876, experienced, morning, personalCare
244, 강유진, 50+, female, 010-2109-8765, experienced, afternoon, companionship
245, 신도현, 50+, female, 010-1098-7654, experienced, morning, companionship
246, 윤서아, 50+, female, 010-0987-6543, novice, evening, personalCare
248, 박지우, 50+, male, 010-8765-4321, experienced, evening, personalCare
249, 최현우, 50+, female, 010-7654-3210, experienced, afternoon, personalCare
250, 임하은, 50+, female, 010-5432-1098, experienced, evening, personalCare
251, 황도현, 50+, male, 010-4321-0987, novice, afternoon, companionship
252, 손지우, 50+, male, 010-3210-9876, experienced, morning, personalCare
253, 김민서, 50+, female, 010-2109-8765, experienced, afternoon, personalCare
254, 박시우, 50+, male, 010-1098-7654, experienced, morning, companionship
255, 정서연, 50+, female, 010-0987-6543, novice, evening, personalCare
256, 오하은, 50+, male, 010-9876-5432, experienced, afternoon, companionship
257, 윤서준, 50+, male, 010-8765-4321, experienced, evening, personalCare
258, 이정우, 50+, female, 010-7654-3210, experienced, morning, personalCare
259, 최수아, 50+, female, 010-6543-2109, novice, afternoon, companionship
260, 장윤호, 50+, male, 010-5432-1098, experienced, evening, personalCare
261, 강지민, 50+, female, 010-4321-0987, novice, afternoon, companionship
262, 신준호, 50+, male, 010-3210-9876, experienced, morning, personalCare
263, 윤승아, 50+, female, 010-2109-8765, experienced, afternoon, personalCare
264, 박예준, 50+, male, 010-1098-7654, experienced, morning, companionship
265, 김하린, 50+, female, 010-0987-6543, novice, evening, personalCare
266, 최서준, 50+, male, 010-9876-5432, experienced, afternoon, companionship
267, 이민지, 50+, male, 010-8765-4321, experienced, evening, personalCare
268, 임서아, 50+, female, 010-7654-3210, experienced, morning, personalCare
269, 황지우, 50+, female, 010-6543-2109, novice, afternoon, companionship
270, 손서연, 50+, male, 010-5432-1098, experienced, evening, personalCare
271, 김도현, 50+, female, 010-4321-0987, novice, afternoon, companionship
272, 박지우, 50+, male, 010-3210-9876, experienced, morning, personalCare
273, 정수아, 50+, female, 010-2109-8765, experienced, afternoon, personalCare
274, 오승준, 50+, male, 010-1098-7654, experienced, morning, companionship
275, 윤민서, 50+, female, 010-0987-6543, novice, evening, personalCare
276, 이지아, 50+, male, 010-9876-5432, experienced, afternoon, companionship
277, 최하은, 50+, male, 010-8765-4321, experienced, evening, personalCare
278, 장예준, 50+, female, 010-7654-3210, experienced, morning, personalCare
279, 강정우, 50+, female, 010-6543-2109, novice, afternoon, companionship
280, 신서연, 50+, male, 010-5432-1098, experienced, evening, personalCare
281, 김민재, 40-50, male, 010-5432-1098, experienced, evening, personalCare
282, 이서연, 40-50, female, 010-4321-0987, novice, afternoon, companionship
283, 박지안, 40-50, female, 010-3210-9876, experienced, morning, personalCare
284, 최승현, 40-50, female, 010-2109-8765, experienced, afternoon, personalCare
285, 정도현, 40-50, male, 010-1098-7654, experienced, morning, companionship
286, 송은찬, 40-50, male, 010-0987-6543, novice, evening, personalCare
287, 장도윤, 40-50, female, 010-9876-5432, intermediate, afternoon, companionship
288, 강서윤, 40-50, female, 010-8765-4321, experienced, evening, personalCare
289, 신민서, 40-50, male, 010-7654-3210, experienced, afternoon, personalCare
290, 윤하은, 40-50, female, 010-6543-2109, novice, morning, companionship
291, 이도현, 40-50, male, 010-5432-1098, experienced, evening, personalCare
292, 임지안, 40-50, female, 010-4321-0987, novice, afternoon, companionship
293, 박시우, 40-50, male, 010-3210-9876, experienced, morning, personalCare
294, 최서아, 40-50, female, 010-2109-8765, experienced, afternoon, personalCare
295, 정민서, 40-50, male, 010-1098-7654, experienced, morning, companionship
296, 송윤서, 40-50, female, 010-0987-6543, novice, evening, personalCare
297, 장하은, 40-50, female, 010-9876-5432, intermediate, afternoon, companionship
298, 강진우, 40-50, male, 010-8765-4321, experienced, evening, personalCare
299, 신지민, 40-50, male, 010-7654-3210, experienced, afternoon, personalCare
300, 윤서연, 40-50, female, 010-6543-2109, novice, morning, companionship
301, 이민재, 40-50, male, 010-5432-1098, experienced, evening, personalCare
302, 임서준, 40-50, female, 010-4321-0987, novice, afternoon, companionship
303, 박지훈, 40-50, male, 010-3210-9876, experienced, morning, personalCare
304, 최예준, 40-50, female, 010-2109-8765, experienced, afternoon, personalCare
305, 정하림, 40-50, male, 010-1098-7654, experienced, morning, companionship
306, 송윤서, 40-50, female, 010-0987-6543, novice, evening, personalCare
307, 장민서, 40-50, female, 010-9876-5432, intermediate, afternoon, companionship
308, 강수아, 40-50, male, 010-8765-4321, experienced, evening, personalCare
309, 신예은, 40-50, male, 010-7654-3210, experienced, afternoon, personalCare
310, 윤서율, 40-50, female, 010-6543-2109, novice, morning, companionship
311, 이민재, 40-50, male, 010-5432-1098, experienced, evening, personalCare
312, 임지안, 40-50, female, 010-4321-0987, novice, afternoon, companionship
313, 박시우, 40-50, male, 010-3210-9876, experienced, morning, personalCare
314, 최서아, 40-50, female, 010-2109-8765, experienced, afternoon, personalCare
315, 정민서, 40-50, male, 010-1098-7654, experienced, morning, companionship
316, 송윤서, 40-50, female, 010-0987-6543, novice, evening, personalCare
317, 장하은, 40-50, female, 010-9876-5432, intermediate, afternoon, companionship
318, 강진우, 40-50, male, 010-8765-4321, experienced, evening, personalCare
319, 신지민, 40-50, male, 010-7654-3210, experienced, afternoon, personalCare
320, 윤서연, 40-50, female, 010-6543-2109, novice, morning, companionship
321, 이민재, 40-50, male, 010-5432-1098, experienced, evening, personalCare
322, 임서준, 40-50, female, 010-4321-0987, novice, afternoon, companionship
323, 박지훈, 40-50, male, 010-3210-9876, experienced, morning, personalCare
324, 최예준, 40-50, female, 010-2109-8765, experienced, afternoon, personalCare
325, 정하림, 40-50, male, 010-1098-7654, experienced, morning, companionship
326, 송윤서, 40-50, female, 010-0987-6543, novice, evening, personalCare
327, 장민서, 40-50, female, 010-9876-5432, intermediate, afternoon, companionship
328, 강수아, 40-50, male, 010-8765-4321, experienced, evening, personalCare
329, 신예은, 40-50, male, 010-7654-3210, experienced, afternoon, personalCare
330, 윤서율, 40-50, female, 010-6543-2109, novice, morning, companionship
