caregiversNo,caregiversName,caregiversAge,caregiversGender,caregiversTel,caregiversExperience,caregiversWorkHours,caregiversRole
80,한하은,50+,female,010-1098-7654,experienced,morning,companionship
81,오민서,40-50,female,010-0987-6543,intermediate,evening,companionship
82,유준우,20-40,male,010-9876-5432,novice,afternoon,companionship
83,배수아,50+,female,010-8765-4321,experienced,evening,companionship
84,임준서,20-40,male,010-7654-3210,novice,afternoon,companionship
85,황민지,50+,female,010-6543-2109,novice,evening,personalCare
86,송예은,40-50,female,010-5432-1098,experienced,afternoon,personalCare
87,신시현,20-40,female,010-4321-0987,novice,evening,personalCare
88,유민서,40-50,female,010-7654-3210,experienced,afternoon,companionship
89,강준우,20-40,male,010-6543-2109,novice,morning,companionship
90,최서연,20-40,female,010-4321-0987,experienced,morning,companionship
91,배도현,50+,male,010-3210-9876,novice,afternoon,companionship
92,신하은,20-40,female,010-2109-8765,experienced,evening,companionship
93,최준우,20-40,male,010-7654-3210,experienced,evening,personalCare
94,박민서,50+,female,010-6543-2109,novice,afternoon,personalCare
95,장은서,40-50,female,010-5432-1098,experienced,morning,personalCare
96,강주원,50+,male,010-3210-9876,experienced,evening,companionship
97,나도현,20-40,male,010-2109-8765,novice,afternoon,companionship
98,정주원,50+,male,010-1098-7654,intermediate,morning,companionship
99,황시우,20-40,male,010-9876-5432,experienced,evening,companionship
100,배민지,50+,female,010-6543-2109,experienced,afternoon,companionship
101,강시현,20-40,female,010-4321-0987,experienced,afternoon,personalCare
102,최주현,50+,female,010-3210-9876,novice,evening,personalCare
103,한수아,20-40,female,010-2109-8765,experienced,afternoon,personalCare
104,홍은서,20-40,female,010-9876-5432,experienced,evening,companionship
105,이서아,20-40,female,010-2109-8765,experienced,afternoon,companionship
106,박준우,20-40,male,010-0987-6543,experienced,evening,companionship
107,최도현,50+,male,010-9876-5432,novice,afternoon,companionship
108,한예은,20-40,female,010-8765-4321,experienced,morning,personalCare
109,장민지,20-40,female,010-6543-2109,experienced,evening,personalCare
110,강시우,50+,male,010-5432-1098,experienced,afternoon,personalCare
111,임수아,40-50,female,010-4321-0987,intermediate,evening,personalCare
112,김시현,50+,female,010-2109-8765,experienced,evening,companionship
113,한도현,50+,male,010-7654-3210,novice,evening,companionship
114,이주현,20-40,female,010-6543-2109,experienced,afternoon,companionship
115,황은서,50+,female,010-5432-1098,experienced,evening,companionship
116,김시우,40-50,male,010-4321-0987,novice,afternoon,companionship
117,장도현,20-40,male,010-3210-9876,experienced,morning,companionship
118,강민서,50+,female,010-2109-8765,experienced,afternoon,companionship
119,임은서,20-40,female,010-1098-7654,novice,evening,companionship
120,윤수아,50+,female,010-0987-6543,experienced,afternoon,companionship
121,박주원,40-50,male,010-9876-5432,experienced,morning,companionship
122,김서준,40-50,male,010-5432-1098,experienced,evening,personalCare
123,박승민,50+,female,010-3210-9876,experienced,morning,personalCare
124,최지우,40-50,female,010-2109-8765,experienced,afternoon,companionship
125,정하율,50+,female,010-1098-7654,experienced,morning,companionship
126,송하윤,50+,female,010-0987-6543,novice,evening,personalCare
127,장도우,40-50,male,010-9876-5432,intermediate,afternoon,companionship
128,강예린,50+,male,010-8765-4321,experienced,evening,personalCare
129,신지윤,40-50,female,010-7654-3210,experienced,afternoon,personalCare
130,송민지,50+,female,010-1098-7654,experienced,morning,companionship
131,장지아,50+,female,010-0987-6543,novice,evening,personalCare
132,강지우,40-50,male,010-9876-5432,intermediate,afternoon,companionship
133,신하린,50+,male,010-8765-4321,experienced,evening,personalCare
134,윤예은,50+,female,010-7654-3210,experienced,afternoon,personalCare
135,정승우,50+,female,010-3210-9876,experienced,morning,personalCare
136,장예은,50+,female,010-1098-7654,experienced,morning,companionship
137,강도현,50+,female,010-0987-6543,novice,evening,personalCare
138,윤예지,50+,male,010-8765-4321,experienced,evening,personalCare
139,이시윤,50+,female,010-7654-3210,experienced,afternoon,personalCare
140,송하은,50+,female,010-3210-9876,experienced,morning,personalCare
141,강지아,50+,female,010-1098-7654,experienced,morning,companionship
142,신승우,50+,female,010-0987-6543,novice,evening,personalCare
143,이하윤,50+,male,010-8765-4321,experienced,evening,personalCare
144,박서준,50+,female,010-7654-3210,experienced,afternoon,personalCare
145,장승우,50+,female,010-3210-9876,experienced,morning,personalCare
146,강유진,50+,female,010-2109-8765,experienced,afternoon,companionship
147,신도현,50+,female,010-1098-7654,experienced,morning,companionship
148,윤서아,50+,female,010-0987-6543,novice,evening,personalCare
149,최현우,50+,female,010-7654-3210,experienced,afternoon,personalCare
150,임하은,50+,female,010-5432-1098,experienced,evening,personalCare
151,황도현,50+,male,010-4321-0987,novice,afternoon,companionship
152,손지우,50+,male,010-3210-9876,experienced,morning,personalCare
153,김민서,50+,female,010-2109-8765,experienced,afternoon,personalCare
154,정서연,50+,female,010-0987-6543,novice,evening,personalCare
155,오하은,50+,male,010-9876-5432,experienced,afternoon,companionship
156,윤서준,50+,male,010-8765-4321,experienced,evening,personalCare
157,이정우,50+,female,010-7654-3210,experienced,morning,personalCare
158,최수아,50+,female,010-6543-2109,novice,afternoon,companionship
159,장윤호,50+,male,010-5432-1098,experienced,evening,personalCare
160,강지민,50+,female,010-4321-0987,novice,afternoon,companionship
161,신준호,50+,male,010-3210-9876,experienced,morning,personalCare
162,윤승아,50+,female,010-2109-8765,experienced,afternoon,personalCare
163,박예준,50+,male,010-1098-7654,experienced,morning,companionship
164,김하린,50+,female,010-0987-6543,novice,evening,personalCare
165,최서준,50+,male,010-9876-5432,experienced,afternoon,companionship
166,이민지,50+,male,010-8765-4321,experienced,evening,personalCare
167,임서아,50+,female,010-7654-3210,experienced,morning,personalCare
168,황지우,50+,female,010-6543-2109,novice,afternoon,companionship
169,손서연,50+,male,010-5432-1098,experienced,evening,personalCare
170,김도현,50+,female,010-4321-0987,novice,afternoon,companionship
171,박지우,50+,male,010-3210-9876,experienced,morning,personalCare
172,정수아,50+,female,010-2109-8765,experienced,afternoon,personalCare
173,오승준,50+,male,010-1098-7654,experienced,morning,companionship
174,윤민서,50+,female,010-0987-6543,novice,evening,personalCare
175,이지아,50+,male,010-9876-5432,experienced,afternoon,companionship
176,최하은,50+,male,010-8765-4321,experienced,evening,personalCare
177,장예준,50+,female,010-7654-3210,experienced,morning,personalCare
178,강정우,50+,female,010-6543-2109,novice,afternoon,companionship
179,신서연,50+,male,010-5432-1098,experienced,evening,personalCare
180,김민재,40-50,male,010-5432-1098,experienced,evening,personalCare
181,이서연,40-50,female,010-4321-0987,novice,afternoon,companionship
182,박지안,40-50,female,010-3210-9876,experienced,morning,personalCare
183,최승현,40-50,female,010-2109-8765,experienced,afternoon,personalCare
184,정도현,40-50,male,010-1098-7654,experienced,morning,companionship
185,송은찬,40-50,male,010-0987-6543,novice,evening,personalCare
186,장도윤,40-50,female,010-9876-5432,intermediate,afternoon,companionship
187,강서윤,40-50,female,010-8765-4321,experienced,evening,personalCare
188,신민서,40-50,male,010-7654-3210,experienced,afternoon,personalCare
189,윤하은,40-50,female,010-6543-2109,novice,morning,companionship
190,이도현,40-50,male,010-5432-1098,experienced,evening,personalCare
191,임지안,40-50,female,010-4321-0987,novice,afternoon,companionship
192,박시우,40-50,male,010-3210-9876,experienced,morning,personalCare
193,최서아,40-50,female,010-2109-8765,experienced,afternoon,personalCare
194,정민서,40-50,male,010-1098-7654,experienced,morning,companionship
195,장하은,40-50,female,010-9876-5432,intermediate,afternoon,companionship
196,강진우,40-50,male,010-8765-4321,experienced,evening,personalCare
197,신지민,40-50,male,010-7654-3210,experienced,afternoon,personalCare
198,윤서연,40-50,female,010-6543-2109,novice,morning,companionship
199,이민재,40-50,male,010-5432-1098,experienced,evening,personalCare
200,임서준,40-50,female,010-4321-0987,novice,afternoon,companionship
201,박지훈,40-50,male,010-3210-9876,experienced,morning,personalCare
202,최예준,40-50,female,010-2109-8765,experienced,afternoon,personalCare
203,정하림,40-50,male,010-1098-7654,experienced,morning,companionship
204,송윤서,40-50,female,010-0987-6543,novice,evening,personalCare
205,장민서,40-50,female,010-9876-5432,intermediate,afternoon,companionship
206,강수아,40-50,male,010-8765-4321,experienced,evening,personalCare
207,신예은,40-50,male,010-7654-3210,experienced,afternoon,personalCare
208,윤서율,40-50,female,010-6543-2109,novice,morning,companionship
